field,plain_english_meaning,used_by_record_type,engine_rule,example
record_type,"The kind of source-detail row. This tells the engine how to read the row.","all","Required for every row. Primary values: member, member_alias, role_history, offer, business_event, pc_entry, sp_entry, reward_obligation, pool_entry, cashout_event, qualification_window, qualification_status. Accepted aliases also include members, member_aliases, alias, member_role, offers, business_events, event, pc_entries, pc_ledger, sp_entries, sp_ledger, reward_obligations, reward, pool_entries, pool, cashout_events, cashout, qualification_windows, qualification_status_history.","business_event"
snapshot_id,"The batch ID for this snapshot file.","all","Optional per row, but if filled, every row in the same CSV must use the same snapshot_id. If all rows leave it blank, the engine uses a default ID.","sample-24m-bgc-iblooming-full-detail-csv"
stable_key,"The internal stable member ID used by the simulator.","member","Required only when record_type=member. Leave blank for other record types.","AFF-ALPHA"
display_name,"Human-readable member name.","member","Optional. Used only when record_type=member.","Alpha Founder"
group_key,"Member group or cohort label.","member","Optional. Stored as member metadata and used as group_key when monthly rows are derived.","FOUNDERS"
join_period,"The first month the member joined. Use YYYY-MM format.","member","Recommended for record_type=member. The engine can import without it, but leaving it blank weakens join-period history.","2024-01"
member_stable_key,"Reference to a member stable_key already defined in a member row.","member_alias; role_history; pc_entry; sp_entry; reward_obligation; cashout_event; qualification_window; qualification_status","Required for these record types: member_alias, role_history, pc_entry, sp_entry, reward_obligation, cashout_event, qualification_window, qualification_status. The value must match a member stable_key. Leave blank on member rows because member rows use stable_key instead.","AFF-ALPHA"
source_system,"The source business system where the data came from.","member; member_alias; role_history; offer; business_event","Required for member_alias, offer, and business_event rows. Optional for role_history. Optional on member rows, but if source_system and alias_key are filled on a member row, the engine automatically creates the alias behind the scenes. Accepted values: BGC, IBLOOMING, I-BLOOMING, I_BLOOMING.","BGC"
alias_key,"The member ID in the original source system.","member; member_alias","Required for member_alias. Optional on member rows, but recommended so the engine can create the source-system alias without a separate member_alias row.","BGC-AFF-ALPHA"
alias_type,"The type of source-system alias.","member; member_alias","Optional for member and member_alias rows. If blank while creating an alias, the engine defaults it to member_id.","member_id"
confidence,"Confidence that the alias belongs to this member.","member; member_alias","Optional for member and member_alias rows. If filled, it must be a number from 0 to 1.","1"
role_type,"The category of member role or status.","role_history","Required only when record_type=role_history. Accepted values: AFFILIATE_LEVEL, CP_STATUS, EXECUTIVE_CP_STATUS, WEC_STATUS, CROSS_APP_STATUS.","AFFILIATE_LEVEL"
role_value,"The actual role/status value.","role_history","Required only when record_type=role_history.","PATHFINDER"
effective_from,"The date this role/status starts.","role_history; qualification_status","Required for role_history and qualification_status. Date or ISO date-time accepted.","2024-01-01"
effective_to,"The date this role/status ends.","role_history; qualification_status","Optional. Leave blank if the role/status is still active.","2024-12-31"
source_event_ref,"Reference to the event_ref that caused or supports this row.","role_history; pc_entry; sp_entry; reward_obligation; pool_entry; cashout_event; qualification_window; qualification_status","Optional, but if filled it must match an existing business_event.event_ref in the same CSV. Recommended for audit trail.","EVT-BGC-JOIN-2024-01-AFF-ALPHA"
offer_code,"Unique code for the product, package, or offer.","offer; business_event","Required for offer rows. Optional for business_event rows.","BGC_JOIN_PATHFINDER"
offer_type,"The category of offer.","offer","Required only when record_type=offer. Accepted values: BGC_AFFILIATE_JOIN, BGC_AFFILIATE_UPGRADE, BGC_PHYSICAL_PRODUCT, IB_CP_DIGITAL_PRODUCT, IB_GIM_PRODUCT, IB_IMATRIX_PRODUCT.","BGC_AFFILIATE_JOIN"
label,"Human-readable offer name.","offer","Optional for offer. If blank, the engine uses offer_code as the label.","BGC Affiliate Join"
price_fiat_usd,"The offer price in USD.","offer","Optional for offer. If filled, it must be a non-negative number.","100"
pc_grant,"Simple PC grant value for an offer.","offer","Optional for offer. If filled, the engine stores it as pc_grant_rule.pc_grant.","10000"
sp_accrual,"Simple SP accrual value for an offer.","offer","Optional for offer. If filled, the engine stores it as lts_generation_rule.sp_accrual.","70"
pc_grant_rule,"Advanced JSON object for PC grant rules.","offer","Optional advanced field for offer. If filled, it must be a JSON object and overrides the simple pc_grant field.","{""pc_grant"":10000}"
lts_generation_rule,"Advanced JSON object for SP/LTS generation rules.","offer","Optional advanced field for offer. If filled, it must be a JSON object and overrides the simple sp_accrual field.","{""sp_accrual"":70}"
reward_rule_reference,"Reference name for the business rule behind the offer reward.","offer","Optional for offer.","demo_reward_rule"
event_ref,"Unique ID for a business event.","business_event","Required only when record_type=business_event. Other rows can point to this using source_event_ref.","EVT-BGC-JOIN-2024-01-AFF-ALPHA"
event_type,"The kind of event that happened.","business_event; cashout_event","For business_event rows, accepted values: AFFILIATE_JOINED, AFFILIATE_UPGRADED, PHYSICAL_PRODUCT_PURCHASED, CP_PRODUCT_SOLD, GIM_SIGNUP_COMPLETED, IMATRIX_PURCHASE_COMPLETED, REWARD_ACCRUED, POOL_FUNDED, POOL_DISTRIBUTED, QUALIFICATION_WINDOW_OPENED, QUALIFICATION_ACHIEVED, CASHOUT_REQUESTED, CASHOUT_APPROVED, CASHOUT_PAID. For cashout_event rows, accepted values: REQUESTED, APPROVED, PAID, REJECTED.","AFFILIATE_JOINED"
occurred_at,"The date the event happened.","business_event; cashout_event","Required for business_event and cashout_event. Date or ISO date-time accepted.","2024-01-05"
effective_period,"The month where this row should count in simulation. Use YYYY-MM format.","business_event; pc_entry; sp_entry; reward_obligation; pool_entry; cashout_event","Required for business_event, pc_entry, sp_entry, reward_obligation, pool_entry, and cashout_event.","2024-01"
actor_member_stable_key,"The member who performed the action.","business_event","Optional for business_event. If filled, it must match a member stable_key.","AFF-ALPHA"
beneficiary_member_stable_key,"The member who received the benefit or reward.","business_event","Optional for business_event. If filled, it must match a member stable_key.","AFF-ALPHA"
related_member_stable_key,"Another member related to the event.","business_event","Optional for business_event. If filled, it must match a member stable_key.","AFF-UPLINE"
quantity,"Number of units in the event.","business_event","Optional for business_event. If filled, it must be a non-negative number.","1"
amount,"Generic amount for business events, rewards, and pool rows.","business_event; reward_obligation; pool_entry","Required for reward_obligation and pool_entry. Optional for business_event.","100"
unit,"Unit for amount.","business_event; reward_obligation; pool_entry","Required for reward_obligation and pool_entry. Optional for business_event, but recommended when business_event.amount is filled. Accepted values: USD, PC, SP, COUNT, SHARE.","USD"
recognized_revenue_usd,"Company revenue recognized from the event.","business_event","Optional for business_event, but recommended for revenue events because it supports cashflow and treasury metrics.","100"
gross_margin_usd,"Gross margin recognized from the event.","business_event","Optional for business_event.","75"
cash_in_usd,"New fiat cash collected by this event.","business_event","Recommended for business_event. Use 0 when the product was paid only with PC or ALPHA.","100"
internal_credit_spent_usd,"USD value of PC, ALPHA, or other internal credit spent.","business_event; pc_entry","Recommended for product purchases paid with PC/ALPHA. This is internal ecosystem usage, not new fiat cash.","100"
payment_method,"How the transaction was paid.","business_event; pc_entry","Recommended when cash_in_usd or internal_credit_spent_usd is used. Accepted values: FIAT, PC, ALPHA, MIXED.","PC"
entry_type,"The ledger movement type.","pc_entry; sp_entry; pool_entry","Required for pc_entry, sp_entry, and pool_entry. PC values: GRANT, SPEND, ADJUSTMENT. SP values: ACCRUAL, DISTRIBUTION, ADJUSTMENT. Pool values: FUNDING, DISTRIBUTION, ALLOCATION, ADJUSTMENT.","GRANT"
amount_pc,"The PC amount for a PC ledger row.","pc_entry","Required only when record_type=pc_entry.","10000"
amount_sp,"The SP amount for an SP ledger row.","sp_entry","Required only when record_type=sp_entry.","70"
sink_spend_usd,"USD value of internal use or sink spend.","pc_entry","Optional for pc_entry. Recommended when entry_type=SPEND. If blank on a SPEND row, the engine estimates sink spend as amount_pc / 100.","100"
reward_source_code,"The reward source or reward rule code.","reward_obligation","Required only when record_type=reward_obligation. Accepted values: BGC_RR, BGC_GR, BGC_MIRACLE_CASH, BGC_GPSP, BGC_WEC_POOL, IB_LR, IB_MIRACLE_CASH, IB_CPR, IB_GRR, IB_IRR, IB_GPS, IB_GMP, IB_GEC.","BGC_RR"
distribution_cycle,"How often the reward or pool distributes.","reward_obligation; pool_entry","Required for reward_obligation and pool_entry. Accepted values: EVENT_BASED, MONTHLY, QUARTERLY, SEMIANNUAL, YEARLY, ADHOC.","EVENT_BASED"
obligation_status,"Current status of the reward obligation.","reward_obligation","Optional for reward_obligation. If blank, the engine defaults it to ACCRUED. Accepted values: ACCRUED, ELIGIBLE, DISTRIBUTED, CANCELLED.","ACCRUED"
origin_join_level,"The source join level used to calculate BGC reward rows.","reward_obligation","Required for BGC_RR rows and BGC_GR rows so strict validation can verify reward math.","PATHFINDER"
tier,"Reward tier number used by selected reward formulas.","reward_obligation","Required for BGC_GR rows and iBlooming GRR/IRR rows that need tier-specific math. Optional otherwise.","2"
imatrix_plan,"iMatrix plan code used by IB_IRR reward math.","reward_obligation","Required for IB_IRR rows. Optional otherwise.","PRO"
eligibility_snapshot_key,"Reference to the eligibility snapshot used for this reward or pool row.","reward_obligation; pool_entry","Optional for reward_obligation and pool_entry.","GPSP-2024-06"
pool_code,"The pool being funded or distributed.","pool_entry","Required only when record_type=pool_entry. Accepted values: BGC_GPSP_MONTHLY_POOL, BGC_WEC_QUARTERLY_POOL, IB_GPS_SEMIANNUAL_POOL, IB_WEC_USER_MONTHLY_POOL, IB_GMP_MONTHLY_POOL, IB_GEC_INTERNAL_POOL.","BGC_GPSP_MONTHLY_POOL"
recipient_member_stable_key,"The member receiving a pool distribution.","pool_entry","Required when record_type=pool_entry and entry_type=DISTRIBUTION. Leave blank for pool funding rows.","AFF-ALPHA"
share_count,"The recipient share count for pool distribution.","pool_entry","Optional for pool_entry. Recommended for distribution rows when pool share math matters.","1"
pool_recipient_count,"Total recipient count for the pool distribution snapshot.","pool_entry","Optional for pool_entry. Used only as pool metadata.","10"
pool_share_total,"Total share count for the pool distribution snapshot.","pool_entry","Optional for pool_entry. Used only as pool metadata. If blank, the engine can use share_count for the recipient row.","10"
amount_usd,"Cash-out amount in USD. This is the cash-out value used by the engine.","cashout_event","Required only when record_type=cashout_event. Leave blank for non-cash-out rows.","40"
fee_usd,"Cash-out fee in USD.","cashout_event","Optional for cashout_event. Recommended to fill 0 when there is no fee.","0"
cashout_source_system,"The source system for the cash-out.","cashout_event","Optional for cashout_event. If blank, the engine tries to infer it from source_event_ref or member history, then defaults to BGC.","BGC"
breakdown_key,"Label used to group cash-out breakdowns.","cashout_event","Optional for cashout_event. If blank, the engine uses CASHOUT.","BGC_CASHOUT"
scenario_code,"Optional cash-out scenario label.","cashout_event","Optional for cashout_event. Stored as metadata for analysis.","WINDOWED_CASHOUT"
policy_group,"Optional cash-out policy group label.","cashout_event","Optional for cashout_event. Stored as metadata for analysis.","STANDARD"
qualification_type,"The qualification program or rule type.","qualification_window; qualification_status","Required for qualification_window and qualification_status. Accepted values: WEC_60_DAY, CPR_YEAR_1, CPR_YEAR_2, EXECUTIVE_CP_APPOINTMENT, POOL_RECIPIENT_SNAPSHOT.","WEC_60_DAY"
window_key,"Unique ID for a qualification window.","qualification_window","Required only when record_type=qualification_window.","WEC-2024-01"
starts_at,"The date a qualification window starts.","qualification_window","Required only when record_type=qualification_window. Date or ISO date-time accepted.","2024-01-01"
ends_at,"The date a qualification window ends.","qualification_window","Required only when record_type=qualification_window. Date or ISO date-time accepted.","2024-03-01"
threshold_amount,"The target amount required for qualification.","qualification_window","Optional for qualification_window. If filled, it must be a non-negative number.","60"
threshold_unit,"The unit of the qualification target.","qualification_window","Optional for qualification_window, but recommended when threshold_amount is filled. Accepted values: USD, PC, SP, COUNT, SHARE.","COUNT"
status,"The qualification status value.","qualification_status","Required only when record_type=qualification_status. Accepted values: OPEN, ELIGIBLE, ACHIEVED, ACTIVE, EXPIRED, CANCELLED.","OPEN"
source_window_key,"Reference to the qualification window_key.","qualification_status","Optional for qualification_status, but recommended. If filled, it must match a qualification_window.window_key for the same member and qualification_type.","WEC-2024-01"
metadata,"Advanced JSON metadata merged into the generated source-detail record.","all","Optional for any row. If filled, it must be a JSON object.","{""note"":""source file row 12""}"
